accession	family	feature_id	feature_name	model	phenotype_class	analysis_role	exposure_n	cohort	ldsc_h2	ldsc_h2_se	ldsc_h2_z	source_gwas_path
GCST90671836	module	MF0014	Arabinose degradation	Linear	module	primary	16017	Swedish	0.0138	0.0283	0.4876325088339223	data/raw/gwas/microbiome_swedish/GCST90671836/GCST90671836.h.tsv.gz
GCST90671848	module	MF0028	Aspartate degradation I	Linear	module	primary	16017	Swedish	0.0532	0.0266	2.0	data/raw/gwas/microbiome_swedish/GCST90671848/GCST90671848.h.tsv.gz
GCST90667537	module	M00747	Bacitracin transport system	continuous relative abundance	module	primary	12652	HUNT	0.1101	0.0538	2.046468401486989	data/raw/gwas/microbiome_hunt/GCST90667537/GCST90667537.h.tsv.gz
GCST90667189	module	M00168	CAM (Crassulacean acid metabolism), dark	continuous relative abundance	module	primary	12652	HUNT	0.0783	0.0464	1.6875	data/raw/gwas/microbiome_hunt/GCST90667189/GCST90667189.h.tsv.gz
GCST90671902	module	MF0090	Ethanol production I	Linear	module	primary	16017	Swedish	0.0049	0.0266	0.1842105263157894	data/raw/gwas/microbiome_swedish/GCST90671902/GCST90671902.h.tsv.gz
GCST90667428	module	M00518	GlnK-GlnL (glutamine utilization) two-component regulatory system	continuous relative abundance	module	primary	12652	HUNT	0.1192	0.0523	2.2791586998087956	data/raw/gwas/microbiome_hunt/GCST90667428/GCST90667428.h.tsv.gz
GCST90667245	module	M00233	Glutamate transport system	continuous relative abundance	module	primary	12652	HUNT	0.0929	0.0473	1.964059196617336	data/raw/gwas/microbiome_hunt/GCST90667245/GCST90667245.h.tsv.gz
GCST90671882	module	MF0067	Glycolysis (preparatory phase)	Linear	module	primary	16017	Swedish	0.0394	0.0274	1.437956204379562	data/raw/gwas/microbiome_swedish/GCST90671882/GCST90671882.h.tsv.gz
GCST90667521	module	M00719	Ihk-Irr (virulence regulation) two-component regulatory system	continuous relative abundance	module	primary	12652	HUNT	0.0364	0.0388	0.9381443298969072	data/raw/gwas/microbiome_hunt/GCST90667521/GCST90667521.h.tsv.gz
GCST90671829	module	MF0007	Lactose and galactose degradation	Linear	module	primary	16017	Swedish	0.077	0.0379	2.0316622691292876	data/raw/gwas/microbiome_swedish/GCST90671829/GCST90671829.h.tsv.gz
