accession	family	feature_id	feature_name	model	phenotype_class	analysis_role	exposure_n	cohort	ldsc_h2	ldsc_h2_se	ldsc_h2_z	source_gwas_path
GCST90670409	species	GCF_023347235.1	Faecalibacterium prausnitzii A	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670409/GCST90670409.h.tsv.gz
GCST90670780	species	GCF_002549775.1	Faecalibacterium prausnitzii F	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670780/GCST90670780.h.tsv.gz
GCST90666682	species	hMGS.00290	Faecalibacterium prausnitzii J	continuous relative abundance	abundance	primary	12652	HUNT	0.0509	0.0364	1.39835164835165	data/raw/gwas/microbiome_hunt/GCST90666682/GCST90666682.h.tsv.gz
GCST90670588	species	GCA_900539945.1	Faecalibacterium sp900539945	Linear	abundance	primary	16017	Swedish	0.0162	0.0297	0.545454545454545	data/raw/gwas/microbiome_swedish/GCST90670588/GCST90670588.h.tsv.gz
GCST90666958	species	hMGS.03869	Faecaligallichristensenella faecipullorum	continuous relative abundance	abundance	primary	12652	HUNT	-0.0011	0.0345	-0.0318840579710144	data/raw/gwas/microbiome_hunt/GCST90666958/GCST90666958.h.tsv.gz
GCST90670554	species	GCF_900104635.1	Faecalimonas phoceensis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670554/GCST90670554.h.tsv.gz
GCST90670835	species	GCA_900553265.1	Faecivicinus sp900553265	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670835/GCST90670835.h.tsv.gz
GCST90670428	species	GCA_000434635.1	Faecousia sp000434635	Linear	abundance	primary	16017	Swedish	0.0407	0.0283	1.43816254416961	data/raw/gwas/microbiome_swedish/GCST90670428/GCST90670428.h.tsv.gz
GCST90670748	species	GCA_900545515.1	Faecousia sp000435995	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670748/GCST90670748.h.tsv.gz
GCST90666580	species	hMGS.00046	Fimenecus sp000432435	continuous relative abundance	abundance	primary	12652	HUNT	0.0043	0.0329	0.130699088145897	data/raw/gwas/microbiome_hunt/GCST90666580/GCST90666580.h.tsv.gz
GCST90670408	species	GCA_000432435.1	Fimenecus sp000432435	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670408/GCST90670408.h.tsv.gz
GCST90670781	species	GCA_900542565.1	Fimisoma avicola	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670781/GCST90670781.h.tsv.gz
GCST90666874	species	hMGS.01706	Fimivivens sp900113995	continuous relative abundance	abundance	primary	12652	HUNT	0.0524	0.036	1.45555555555556	data/raw/gwas/microbiome_hunt/GCST90666874/GCST90666874.h.tsv.gz
GCST90666960	species	hMGS.03891	Flavonifractor avistercoris	continuous relative abundance	abundance	primary	12652	HUNT	0.025	0.0352	0.710227272727273	data/raw/gwas/microbiome_hunt/GCST90666960/GCST90666960.h.tsv.gz
GCST90671223	species	GCF_014384905.1	Fumia xinanensis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671223/GCST90671223.h.tsv.gz
GCST90670986	species	GCA_902362365.1	GCA-900066495 sp902362365	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670986/GCST90670986.h.tsv.gz
GCST90671245	species	GCF_014384795.1	Gehongia tenuis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671245/GCST90671245.h.tsv.gz
GCST90670546	species	GCF_018784445.1	Gemmiger sp900540775	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670546/GCST90670546.h.tsv.gz
GCST90666919	species	hMGS.02733	Gordonibacter pamelaeae	continuous relative abundance	abundance	primary	12652	HUNT	0.0453	0.0355	1.27605633802817	data/raw/gwas/microbiome_hunt/GCST90666919/GCST90666919.h.tsv.gz
GCST90671072	species	GCA_900761905.1	HGM14224 sp900761905	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671072/GCST90671072.h.tsv.gz
GCST90670990	species	GCA_004340125.1	Harryflintia acetispora	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670990/GCST90670990.h.tsv.gz
GCST90667057	species	hMGS.07107	Instestinimonas A gabonensis	continuous relative abundance	abundance	primary	12652	HUNT	0.0093	0.0355	0.261971830985916	data/raw/gwas/microbiome_hunt/GCST90667057/GCST90667057.h.tsv.gz
GCST90671259	species	GCA_019421015.1	JAHZGC01 sp019421015	Linear	abundance	primary	16017	Swedish	-0.0145	0.0256	-0.56640625	data/raw/gwas/microbiome_swedish/GCST90671259/GCST90671259.h.tsv.gz
GCST90671193	species	GCA_019114465.1	Lachnoclostridium A avicola	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671193/GCST90671193.h.tsv.gz
GCST90671075	species	GCF_000765215.1	Lachnoclostridium B sp000765215	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671075/GCST90671075.h.tsv.gz
GCST90671115	species		Lawsonibacter hMGS.05443	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671115/GCST90671115.h.tsv.gz
GCST90670813	species	GCA_902362775.1	Lawsonibacter sp900066645	Linear	abundance	primary	16017	Swedish	0.0015	0.0289	0.0519031141868512	data/raw/gwas/microbiome_swedish/GCST90670813/GCST90670813.h.tsv.gz
GCST90671218	species	GCA_900543485.1	Lentihominibacter excrementipullorum	Linear	abundance	primary	16017	Swedish	0.0317	0.0268	1.18283582089552	data/raw/gwas/microbiome_swedish/GCST90671218/GCST90671218.h.tsv.gz
GCST90671214	species	GCA_902362435.1	Lentihominibacter sp900066305	Linear	abundance	primary	16017	Swedish	3e-04	0.0276	0.0108695652173913	data/raw/gwas/microbiome_swedish/GCST90671214/GCST90671214.h.tsv.gz
GCST90671285	species	GCA_905193765.1	Lentihominibacter sp905193765	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671285/GCST90671285.h.tsv.gz
GCST90670555	species	GCA_900540045.1	Limiplasma merdipullorum	Linear	abundance	primary	16017	Swedish	0.0308	0.0315	0.977777777777778	data/raw/gwas/microbiome_swedish/GCST90670555/GCST90670555.h.tsv.gz
GCST90670796	species	GCF_004341945.1	Longicatena caecimuris	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670796/GCST90670796.h.tsv.gz
GCST90671237	species	GCA_900169975.1	Marseille-P3106 sp900169975	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671237/GCST90671237.h.tsv.gz
GCST90671001	species	GCA_003435055.1	Marvinbryantia sp900066075	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671001/GCST90671001.h.tsv.gz
GCST90670838	species	GCF_900199515.1	Massilicoli timonensis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670838/GCST90670838.h.tsv.gz
GCST90666614	species	hMGS.00099	Mediterraneibacter faecis	continuous relative abundance	abundance	primary	12652	HUNT	0.0426	0.0347	1.22766570605187	data/raw/gwas/microbiome_hunt/GCST90666614/GCST90666614.h.tsv.gz
GCST90666624	species	hMGS.00124	Mediterraneibacter lactaris	continuous relative abundance	abundance	primary	12652	HUNT	0.028	0.031	0.903225806451613	data/raw/gwas/microbiome_hunt/GCST90666624/GCST90666624.h.tsv.gz
GCST90670827	species	GCF_001754075.1	Merdimonas faecis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670827/GCST90670827.h.tsv.gz
